tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	228638	0	1144745	1.0	0.1997283237751639	0.3329559197980461
bbmapskimmermod	1144745	0	1144745	1.0	1.0	1.0
bowtie1	1144745	50559	1144745	0.9577019737238393	1.0	0.9783940421760399
bowtie2	1144745	104	1144745	0.9999091583256832	1.0	0.9999545770996954
bwa_mem	895	0	1144745	1.0	0.0007818335087726961	0.0015624454453405958
hisat2	1127585	0	1144745	1.0	0.9850097619993973	0.9924482799593369
lexicmap	849509	212	1144745	0.9997505063426702	0.7420945276022171	0.8518661135361546
minimap2	94	0	1144745	1.0	0.00008211435734595915	0.00016421523026381875
minimap2_mod	94	0	1144745	1.0	0.00008211435734595915	0.00016421523026381875
minimap2_og	48	0	1144745	1.0	0.00004193073566602169	0.00008385795510629433
mmseqs2	495259	66	1144745	0.9998667541513148	0.4326369628170466	0.6039486119494899
mmseqs2map	495259	40	1144745	0.9999192407010715	0.4326369628170466	0.6039581864876796
mummer4	1117029	0	1144745	1.0	0.9757884943808447	0.9877459021104672
spacer_containment	1144745	0	1144745	1.0	1.0	1.0
strobealign	18741	0	1144745	1.0	0.016371331606602344	0.032215256565184286
