tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	148775	2	754266	0.9999865570619114	0.19724473859354658	0.329497044991213
bbmapskimmermod	754266	2	754266	0.9999973484225766	1.0	0.9999986742095306
blastn	706101	0	754266	1.0	0.9361432173795452	0.9670185645115235
bowtie1	754266	40065	754266	0.9495613289673952	1.0	0.9741281947465996
bowtie2	754266	89	754266	0.9998820184130813	1.0	0.9999410057264217
bwa_mem	682332	0	754266	1.0	0.9046304619325278	0.9499275371398263
hisat2	748069	0	754266	1.0	0.9917840655683804	0.9958750877800224
lexicmap	578612	110	754266	0.9998099260093792	0.7671192921330141	0.8681428489978905
minimap2	82	0	754266	1.0	0.00010871496262591712	0.00021740628993514928
minimap2_mod	82	0	754266	1.0	0.00010871496262591712	0.00021740628993514928
mmseqs2	526318	154	754266	0.9997074868179124	0.6977883134066761	0.821897999434701
mmseqs2map	526318	91	754266	0.999827130615168	0.6977883134066761	0.8219384309055772
mummer4	743364	0	754266	1.0	0.9855462131396616	0.9927204983874521
spacer_containment	754266	2	754266	0.9999973484225766	1.0	0.9999986742095306
strobealign	23273	0	754266	1.0	0.030855162502353282	0.059863235156050056
