bowtie2	spacer_containment	minimap2	hisat2	strobealign	lexicmap	bbmapskimmer	mummer4	blastn	bwa_mem	bowtie1	mmseqs2	tool1
0	1573821	1573737	458196	1540241	1091945	866612	311522	419183	1064975	623	810558	bowtie2
0	0	0	0	0	0	0	0	0	0	0	0	spacer_containment
7	91	0	19	11	36	7	0	6	39	7	1	minimap2
0	1115625	1115553	0	1091310	662465	619556	165807	213425	719210	0	544786	hisat2
1149	34729	34649	10414	0	25462	11560	8696	11297	16454	192	13201	strobealign
80509	562385	562330	109225	553118	0	347004	3942	2690	390190	77668	261641	lexicmap
97603	804812	804728	308743	781643	589431	0	237504	267502	503813	3626	349553	bbmapskimmer
170452	1432751	1432660	482933	1406718	874308	865443	0	130232	1006092	159657	669832	mummer4
200820	1355458	1355373	453258	1332026	795763	818148	52939	0	956080	145244	623778	blastn
7010	515856	515804	119441	497581	343661	214857	89197	116478	0	1146	176436	bwa_mem
361388	1934586	1934502	818961	1900049	1449869	1133400	661492	724372	1419876	0	1109575	bowtie1
137930	901193	901103	330354	879665	600449	445934	138274	169513	561773	76182	0	mmseqs2
