bowtie2	spacer_containment	minimap2	hisat2	strobealign	lexicmap	bbmapskimmer	mummer4	blastn	bwa_mem	bowtie1	mmseqs2	tool1
0	1415300	1415116	851251	1385050	1104033	750481	375426	493008	932990	73	757044	bowtie2
0	0	0	0	0	0	0	0	0	0	0	0	spacer_containment
36	220	0	67	86	126	36	0	15	109	36	13	minimap2
0	564049	563896	0	551187	344465	300611	92617	123980	359530	0	275940	hisat2
663	30913	30779	18051	0	24210	10376	8629	11102	15005	357	12157	strobealign
131752	443019	442925	223435	436316	0	296572	4556	3256	328789	128532	240304	lexicmap
95799	760618	760434	497180	740081	614171	0	268625	297569	458426	1061	352124	bbmapskimmer
298427	1338301	1338081	866869	1316017	899838	846308	0	154246	953074	285164	673449	mummer4
348514	1270806	1270601	830737	1250995	831043	807757	86751	0	920240	261852	635173	blastn
15402	497712	497601	293193	481804	383482	195520	112485	147146	0	2099	185627	bwa_mem
823082	2238309	2238125	1674260	2207753	1923822	1478752	1185172	1229355	1742696	0	1506875	bowtie1
204022	862278	862071	574169	843522	659563	453784	197426	226645	550193	130844	0	mmseqs2
