bowtie2	spacer_containment	minimap2	hisat2	strobealign	lexicmap	bbmapskimmer	mummer4	blastn	bwa_mem	bowtie1	mmseqs2	tool1
0	0	1898848	23370	1857008	471412	1521598	38631	153786	1215797	0	877491	bowtie2
0	0	1898848	23370	1857008	471412	1521598	38631	153786	1215797	0	877491	spacer_containment
0	0	0	0	0	12	0	0	0	86	0	1	minimap2
0	0	1875478	0	1833700	449755	1502001	15261	130416	1192427	0	854121	hisat2
0	0	41840	62	0	8765	23503	105	1462	19929	0	11491	strobealign
0	0	1427448	1713	1394361	0	1138031	3759	23739	862087	0	613674	lexicmap
0	0	377250	3773	358913	87845	0	7527	28635	239408	0	69024	bbmapskimmer
0	0	1860217	0	1818482	436540	1490494	0	115155	1177166	0	838860	mummer4
0	0	1745062	0	1704684	341365	1396447	0	0	1062011	0	744499	blastn
0	0	683137	0	661140	117702	545209	0	0	0	0	182235	bwa_mem
0	0	1898848	23370	1857008	471412	1521598	38631	153786	1215797	0	877491	bowtie1
0	0	1021358	0	991008	207595	713131	0	20794	520541	0	0	mmseqs2
