tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	429142	57	1162536	0.9998671944715621	0.3691429770776991	0.5392128714892869
bbmapskimmermod	1147187	73	1162536	0.9999363701340586	0.9867969680078724	0.9933232198860852
bowtie1	1162536	46220	1162536	0.9617623407867262	1.0	0.98050851603261
bowtie2	1162536	132	1162536	0.9998864680201055	1.0	0.9999432307874923
bwa_mem	852	0	1162536	1.0	0.0007328805301513243	0.0014646876192637363
hisat2	987377	7219	1162536	0.9927417765605331	0.8493302572995589	0.9154534817526234
lexicmap	496260	114319	1162536	0.8127695187682511	0.42687710316067634	0.5597606472225434
minimap2	21	0	1162536	1.0	0.000018063956729081937	0.000036127260856887016
minimap2_mod	21	0	1162536	1.0	0.000018063956729081937	0.000036127260856887016
minimap2_og	12	0	1162536	1.0	0.000010322260988046821	0.000020644308880149466
mmseqs2	479184	22393	1162536	0.9553548109263383	0.4121885257746857	0.575903198881326
mmseqs2map	478088	18504	1162536	0.9627380223604085	0.41124575927111073	0.5763123761397554
mummer4	945913	69940	1162536	0.9311514559685309	0.8136634048321945	0.8684518697073847
spacer_containment	0	3	1162536	0.0	0.0	0.0
strobealign	17725	1	1162536	0.9999435856933319	0.015246839667760826	0.03003570393692248
