mean_time	stddev_time	median_time	user_time	system_time	min_time	max_time	command	tool
193.87400529294		193.87400529294	707.2159145999999	39.87020194	193.87400529294	193.87400529294	bbmapskimmer.sh sam=1.4 maxindel=0 tipsearch=0 midpad=100 in=results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa ref=./results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa outm=results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//bbmap_skimmer_output.sam t=25 minid=0.85 path=results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs/	bbmap_skimmer
168.04396137942		168.04396137942	104.62130581999999	46.52688984	168.04396137942	168.04396137942	bbmapskimmer.sh sam=1.4 maxindel=0 tipsearch=0 midpad=100 ignorefrequentkmers=f vslow maxsites=15000 maxsites2=15000 in=results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa ref=./results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa outm=results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//bbmap_skimmer_mod_output.sam t=25 minid=0.85 path=results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs/	bbmapskimmermod
299.88329930841996		299.88329930841996	3627.4265671599996	10.276783819999999	299.88329930841996	299.88329930841996	"makeblastdb -in results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa -dbtype nucl -out results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//contigs_blastdb && blastn -query results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa -db results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//contigs_blastdb -max_target_seqs 1000000 -out results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//blastn_output.tsv -evalue 1e-5 -num_threads 25 -task blastn-short -outfmt ""6 qaccver saccver nident length mismatch qlen gapopen qstart qend sstart send evalue bitscore"""	blastn
1667.4170644293201		1667.4170644293201	23092.35265902	76.46893702	1667.4170644293201	1667.4170644293201	bowtie-build --threads 25 results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/bt1_contigs_index && bowtie --threads 25 -f --all -v 3 -x results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/bt1_contigs_index results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa -S results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//bowtie1_output.sam	bowtie1
2110.6118415001997		2110.6118415001997	22805.115773699996	174.24293984	2110.6118415001997	2110.6118415001997	bowtie2-build --large-index --threads 25 results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/contigs_bt2indx && bowtie2 --all --xeq --very-sensitive -x results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/contigs_bt2indx -f results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa -S results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//bowtie2_output.sam --threads 25	bowtie2
3489.90047186474		3489.90047186474	3380.25767432	30.553990319999997	3489.90047186474	3489.90047186474	bwa index results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa && bwa mem -t 25 -k 18 -c 5000 -a results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa > results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//bwa_mem_output.sam	bwa_mem
1088.4190300713399		1088.4190300713399	10060.275279239999	72.55130456	1088.4190300713399	1088.4190300713399	hisat2-build -p 25 results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//hisat2_idx && hisat2 -a --no-spliced-alignment  --no-unal --no-softclip --secondary -p 25 -x results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//hisat2_idx -f results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa -S results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//hisat2_output.sam	hisat2
200.14534203678002		200.14534203678002	2865.5973434999996	68.40226166	200.14534203678002	200.14534203678002	mkdir -p results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap_contigs results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap_spacers && cp results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap_contigs/simulated_contigs.fa && cp results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap_spacers/simulated_spacers.fa && lexicmap index -k 15 -m 40000 --seed-max-desert 200 --seed-in-desert-dist 50 -I results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap_contigs -O results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap.lmi && lexicmap search -d results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap.lmi results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//tmp_lexicmap_spacers/simulated_spacers.fa -o results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//lexicmap_output.tsv --threads 25 --align-min-match-len 17 --align-min-match-pident 85 --seed-min-prefix 15 --seed-min-single-prefix 15 --seed-max-dist 100 --seed-max-gap 100 --align-max-gap 20 --align-band 100 --top-n-genomes 0 -a	lexicmap
78.93155236842		78.93155236842	99.30773232	48.75245262	78.93155236842	78.93155236842	minimap2 -N 100 --eqx -t 25 -a results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa -o results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//minimap2_output.sam	minimap2
69.99436574226		69.99436574226	97.50242777999999	33.5957647	69.99436574226	69.99436574226	minimap2 -P --eqx -t 25 -a results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_contigs.fa results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/simulated_data/simulated_spacers.fa -o results/run_t_25_nc_40000_ns_1225_ir_1_1225_lm_3_3_prc_0.5/raw_outputs//minimap2_mod_output.sam	minimap2_mod
