tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	374697	1590	1147841	0.9957745019094468	0.3264363269825699	0.4916870499065696
bbmapskimmermod	922593	1753	1147841	0.9981035240050804	0.8037637617056718	0.8904534195031627
bowtie1	1147841	66717	1147841	0.9450689057253749	1.0	0.9717587926510297
bowtie2	848042	392	1147841	0.9995379723113407	0.7388148707007329	0.8496244254924799
bwa_mem	734	4	1147841	0.994579945799458	0.0006394613888160469	0.001278101027443476
hisat2	344901	28994	1147841	0.9224541649393546	0.3004780278801681	0.45329938964445865
lexicmap	206721	52722	1147841	0.796787733721858	0.18009550103193736	0.29378718154970856
minimap2	76	0	1147841	1.0	0.00006621126096732909	0.0001324137546529932
minimap2_mod	76	0	1147841	1.0	0.00006621126096732909	0.0001324137546529932
minimap2_og	35	0	1147841	1.0	0.000030492028077059455	0.00006098219668326544
mmseqs2	383450	54378	1147841	0.8758005426788602	0.33406194760424135	0.48364444281877245
mmseqs2map	385210	42552	1147841	0.9005241232274022	0.33559526101611636	0.48896835052992416
mummer4	666570	83942	1147841	0.8881536870829514	0.5807163187235863	0.7022613813131698
spacer_containment	0	2	1147841	0.0	0.0	0.0
strobealign	13711	60	1147841	0.9956430179362429	0.01194503419898749	0.023606849791496645
