tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	401535	501	1167274	0.9987538429394383	0.3439937838074008	0.511734456544596
bbmapskimmermod	1058330	562	1167274	0.9994692565436324	0.9066680145364328	0.9508095982060637
bowtie1	1167274	29696	1167274	0.9751906898251418	1.0	0.9874395366975658
bowtie2	969651	64	1167274	0.9999340012271647	0.8306969914518785	0.9074927386149391
bwa_mem	816	0	1167274	1.0	0.0006990646583407152	0.0013971526166648117
hisat2	677511	35674	1167274	0.9499793181292372	0.5804215634032798	0.7205804540274476
lexicmap	303143	98788	1167274	0.7542165197509025	0.25970166387669047	0.38636507021071176
minimap2	41	0	1167274	1.0	0.00003512457229408005	0.00007024667720366824
minimap2_mod	41	0	1167274	1.0	0.00003512457229408005	0.00007024667720366824
minimap2_og	26	0	1167274	1.0	0.000022274119015758082	0.00004454724578086182
mmseqs2	425155	47549	1167274	0.899410624830761	0.36422896423633183	0.5184886626527916
mmseqs2map	427347	37769	1167274	0.9187966012779608	0.36610684380873726	0.5235844375424991
mummer4	809754	120963	1167274	0.8700324588462444	0.6937137295956219	0.7719327680623989
spacer_containment	0	1	1167274	0.0	0.0	0.0
strobealign	15301	136	1167274	0.9911899980566172	0.013108319040773631	0.025874452846046073
