tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	383594	50	761191	0.9998696708406752	0.5039392215619996	0.6701297566898288
bbmapskimmermod	754263	61	761191	0.9999191328924971	0.9908984735762771	0.9953883663309173
blastn	608303	69512	761191	0.8974469434875297	0.7991463377785601	0.8454488723466059
bowtie1	761191	39502	761191	0.9506652362391079	1.0	0.9747087491772757
bowtie2	761191	82	761191	0.9998922856846362	1.0	0.9999461399415684
bwa_mem	568245	0	761191	1.0	0.7465209126224561	0.8548662741192505
hisat2	650779	0	761191	1.0	0.8549483638140756	0.9218028711658179
lexicmap	339233	66630	761191	0.835831302680954	0.44566081312049144	0.5813492777540713
minimap2	65	0	761191	1.0	0.00008539249675836945	0.00017077041100497075
minimap2_mod	65	0	761191	1.0	0.00008539249675836945	0.00017077041100497075
mmseqs2	494551	18402	761191	0.9641253682111226	0.6497068409899749	0.7762874525956249
mmseqs2map	494871	14370	761191	0.9717815336942627	0.65012723482017	0.7790594065640665
mummer4	639110	34702	761191	0.9484989878482425	0.8396184400498692	0.8907437824171796
spacer_containment	0	1	761191	0.0	0.0	0.0
strobealign	21963	0	761191	1.0	0.028853467789293357	0.056088585386782165
