tool	true_positives	false_positives	ground_truth_total	precision	recall	f1_score
bbmapskimmer	400394	497	744495	0.9987602615174699	0.5378061639097643	0.6991424724939889
bbmapskimmermod	672509	544	744495	0.9991917427007977	0.9033089543919033	0.9488341840981752
blastn	498658	100177	744495	0.8327135187489041	0.6697936184930725	0.7424207007957836
bowtie1	744495	39425	744495	0.9497078783549342	1.0	0.9742053041876716
bowtie2	603361	99	744495	0.9998359460444769	0.8104298887165126	0.8952242471002371
bwa_mem	513894	3692	744495	0.9928668858894947	0.690258497370701	0.8143597756403909
hisat2	438114	1	744495	0.9999977174942652	0.5884713799286765	0.7409272710360981
lexicmap	204815	42234	744495	0.8290460596885638	0.2751059442978126	0.41312337122709636
minimap2	46	14	744495	0.7666666666666667	0.0000617868488035514	0.00012356373941481826
minimap2_mod	46	14	744495	0.7666666666666667	0.0000617868488035514	0.00012356373941481826
mmseqs2	443034	37847	744495	0.9212965369810826	0.5950798863659259	0.7230988692450318
mmseqs2map	443341	29798	744495	0.9370206218468569	0.5954922464220713	0.7282007565491765
mummer4	523729	52161	744495	0.9094254111028148	0.7034687942833733	0.7932974094676932
spacer_containment	0	2	744495	0.0	0.0	0.0
strobealign	19223	104	744495	0.9946189268898432	0.025820186838058014	0.050333716494157014
